title,text,date,source,link
Binance to Support Bitcoin Ordinals in its NTF Marketplace,Users will be able to buy and sell Bitcoin NFTs on the Binance NFT marketplace in the coming weeks.,2023-05-09 09:29:00,CryptoPotato,https://cryptopotato.com/binance-to-support-bitcoin-ordinals-in-its-ntf-marketplace/
Bitcoin ordinals hit Binance NFT Marketplace in latest update,The Binance NFT marketplace announced that users will soon be able to trade and purchase Bitcoin NFTs on its platform using already-existing wallets.,2023-05-09 09:00:11,CoinTelegraph,https://cointelegraph.com/news/bitcoin-ordinals-hit-binance-nft-marketplace-in-latest-update
"Ordinals inscriptions approach 4.8M, nearly doubling in just over a week",The BRC-20 token frenzy has seen the number of Ordinals inscriptions on the Bitcoin network soar 92% in 8 days.,2023-05-09 05:57:02,CoinTelegraph,https://cointelegraph.com/news/ordinals-inscriptions-approach-4-8m-nearly-doubling-in-just-over-a-week
‘Unjustly enriched:’ Core Scientific knocks back  $4.7M claim from Celsius,"Core Scientific has rejected a multi-million-dollar administrative claim from Celsius Network, arguing it's owed an even higher amount from the crypto lender.",2023-05-09 05:09:54,CoinTelegraph,https://cointelegraph.com/news/unjustly-enriched-core-scientific-knocks-back-4-7m-claim-from-celsius
"Bitcoin’s Fees Explode Amid BRC-20 Memecoin Mania, Miners Benefit",Bitcoin’s blockchain was flooded with volume over the weekend by transactions involving so-called “BRC-20” Ordinals – an emergent standard for issuing fungible tokens on Bitcoin.\xa0\xa0 The surge caused network fees,2023-05-08 23:00:00,CryptoPotato,https://cryptopotato.com/bitcoins-fees-explode-amid-brc-20-memecoin-mania-miners-benefit/
"Liechtenstein Could Embrace Bitcoin as a Payment Method for Gvmt Services, Says PM",An upcoming legislation could allow the residents of Liechtenstein to settle government services in BTC. ,2023-05-08 19:25:00,CryptoPotato,https://cryptopotato.com/liechtenstein-could-embrace-bitcoin-as-a-payment-method-for-gvmt-services-says-pm/
Does Bitcoin price risk losing $28K with BTC futures premium at 2-month lows?,Professional Bitcoin traders are favoring sideways price action as BTC futures premium drops and the options delta skew nears 0%,2023-05-08 15:20:43,CoinTelegraph,https://cointelegraph.com/news/does-bitcoin-price-risk-losing-28k-with-btc-futures-premium-at-2-month-lows
Bitcoin takes flight in Liechtenstein: Minister proposes government services paid in crypto,Prime Minister Daniel Risch of Liechtenstein told local papers that Bitcoin is set to play a growing role in government services payments.,2023-05-08 13:03:43,CoinTelegraph,https://cointelegraph.com/news/bitcoin-takes-flight-in-liechtenstein-minister-proposes-government-services-paid-in-crypto
Bitcoin options: How to play it when BTC price moves up or down 10%,A perfect storm is forming for higher volatility. Learn how to profit from BTC price moves on either side.,2023-05-08 12:10:50,CoinTelegraph,https://cointelegraph.com/news/bitcoin-options-how-to-play-it-when-btc-price-moves-up-or-down-10
Over 75% of Daily Bitcoin On-Chain Transactions Used Taproot: Data,The average Bitcoin transaction fee climbed to its highest point in nearly two years.,2023-05-08 10:53:00,CryptoPotato,https://cryptopotato.com/over-75-of-daily-bitcoin-on-chain-transactions-used-taproot-data/
Binance 'FUD' meets CPI — 5 things to know in Bitcoin this week,A spike in transaction fees and repeated BTC withdrawal outages at Binance provide a fraught backdrop to a week of Bitcoin volatility triggers.,2023-05-08 09:58:05,CoinTelegraph,https://cointelegraph.com/news/binance-fud-meets-cpi-5-things-to-know-in-bitcoin-this-week
"Binance Wallets See Huge Spikes in Bitcoin Outflows, Suspends BTC Transactions","Binance exchange outflows saw several notable spikes in activity, are whales moving their BTC or is it internal exchange movements?",2023-05-08 06:43:00,CryptoPotato,https://cryptopotato.com/binance-wallets-see-huge-spikes-in-bitcoin-outflows-suspends-btc-transactions/
CashApp’s Bitcoin Sales Up 25% Since Last Quarter,"Although revenue from Bitcoin only accounts for a small part of CashApp’s success last quarter, the increase in such transactions is noteworthy.\r\n",2023-05-08 04:53:00,CryptoPotato,https://cryptopotato.com/cashapps-bitcoin-sales-up-25-since-last-quarter/
‘Bitcoin is not under attack:’ BTC maxis allay fears of a DoS offensive,Concerns circulated on Crypto Twitter of a denial of service (DoS) attack on the Bitcoin network.,2023-05-08 04:39:12,CoinTelegraph,https://cointelegraph.com/news/bitcoin-is-not-under-attack-btc-maxis-allay-fears-of-a-dos-offensive
Binance halts Bitcoin withdrawals for the second time in 12 hours,The crypto exchange said it temporarily closed BTC withdrawals due to a 'large volume of pending transactions.',2023-05-08 02:38:56,CoinTelegraph,https://cointelegraph.com/news/binance-halts-bitcoin-withdrawals-for-the-second-time-in-12-hours
